날짜,요일,공휴일,날씨,유료합계,어른,청소년,어린이,외국인,단체,무료합계,총계
2016-10-28,금,0,흐림,"4,337","2,921","1,038",378,61,"2,652","2,201","6,538"
2016-10-29,토,1,구름 많음,"11,549","9,754",378,"1,417",116,786,"3,797","15,346"
2016-10-30,일,1,맑음,"13,506","11,576",386,"1,544",83,130,"4,200","17,706"
2016-10-31,월,0,흐림,"1,135","1,066",8,61,12,397,961,"2,096"
2016-11-01,화,0,맑음,873,792,22,59,46,222,"1,432","2,305"
2016-11-02,수,0,구름 조금,"5,957","1,081",7,"4,869",32,"5,430","1,563","7,520"
2016-11-03,목,0,구름 조금,"1,647","1,496",24,127,79,453,"1,607","3,254"
2016-11-04,금,0,구름 많음,"2,856","1,699",813,344,63,"1,447","1,978","4,834"
2016-11-05,토,1,구름 많음,"10,504","9,125",281,"1,098",154,669,"3,876","14,380"
2016-11-06,일,1,구름 많음,"14,490","12,529",353,"1,608",117,118,"5,039","19,529"
2016-11-07,월,0,흐림,"4,459","4,341",11,107,42,"3,140","1,276","5,735"
2016-11-08,화,0,맑음,"1,070",787,260,23,33,325,"1,500","2,570"
2016-11-09,수,0,맑음,"1,263",937,36,290,21,741,"1,367","2,630"
2016-11-10,목,0,흐림,620,567,35,18,28,134,"1,308","1,928"
2016-11-11,금,0,구름 조금,"2,184","1,414",690,80,118,876,"1,478","3,662"
2016-11-12,토,1,흐림,"10,483","9,149",228,"1,106",85,"1,271","3,442","13,925"
2016-11-13,일,1,구름 많음,"10,405","8,971",361,"1,073",164,583,"3,002","13,407"
2016-11-14,월,0,비,924,487,411,26,15,411,895,"1,819"
2016-11-15,화,0,맑음,919,836,17,66,24,243,"1,286","2,205"
2016-11-16,수,0,구름 조금,880,803,46,31,39,108,"1,139","2,019"
2016-11-17,목,0,,"2,051","1,572",215,264,43,77,"1,429","3,480"
2016-11-18,금,0,,"1,336",989,82,265,12,315,"1,020","2,356"
2016-11-19,토,1,,"7,068","6,203",139,726,116,179,"2,868","9,936"
2016-11-20,일,1,,"21,101","9,684","10,262","1,155",86,"10,030","3,287","24,388"
2016-11-21,월,0,구름 많음,"1,092","1,012",33,47,22,30,"1,139","2,231"
2016-11-22,화,0,구름 조금,420,387,19,14,4,30,"1,013","1,433"
2016-11-23,수,0,구름 조금,265,253,8,4,16,0,756,"1,021"
2016-11-24,목,0,맑음,176,161,14,1,11,0,705,881
2016-11-25,금,0,구름 조금,985,362,606,17,20,606,832,"1,817"
