Country ID,Country,"Time Series - CO₂ total emissions  without LULUCF, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CO2 emissions, latest year",% change since 1990,"CO2 emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg
376,Israel,...,...,...,...,...,...,"52,232.30",...,...,...,"61,067.82",...,...,"62,513.59","62,438.66","62,711.88","63,741.57","66,567.60","66,048.15","63,225.75","65,088.77","67,138.41","72,410.99","66,290.47","64,285.91","66,100.38","65,191.77","65,055.35","64,804.64",2018,64804.64,...,7.73
380,Italy,"4,38,008.80","4,37,538.60","4,37,829.80","4,30,179.96","4,24,581.72","4,48,332.91","4,42,277.41","4,48,044.94","4,60,049.20","4,64,548.48","4,68,442.09","4,68,642.86","4,76,251.24","4,94,183.29","4,99,619.39","5,00,005.68","4,95,124.20","4,87,693.31","4,76,229.97","4,22,624.19","4,33,688.02","4,22,039.48","4,01,554.71","3,67,568.71","3,47,860.80","3,60,088.18","3,56,556.20","3,51,473.93","3,48,085.03",2018,348085.03,-20.53,5.74
388,Jamaica,...,...,...,...,"8,561.19",...,...,...,...,...,...,...,...,...,...,...,"11,204.47","9,854.93","10,655.98","7,916.63","7,283.62",...,"7,383.89",...,...,...,...,...,...,2012,7383.89,...,2.60
392,Japan,"11,58,391.31","11,70,065.73","11,79,740.10","11,72,647.31","12,27,566.84","12,39,928.16","12,51,867.57","12,45,112.03","12,05,416.32","12,42,015.31","12,64,844.26","12,50,211.05","12,79,452.96","12,87,642.18","12,82,872.08","12,90,056.28","12,66,828.61","13,02,524.28","12,31,909.52","11,62,647.87","12,14,068.56","12,64,155.13","13,05,432.85","13,14,703.00","12,63,049.94","12,22,781.31","12,03,167.02","11,87,661.45","11,35,688.00",2018,1135688.00,-1.96,8.93
400,Jordan,...,...,...,...,"13,389.43",...,...,...,...,...,"16,308.31",...,...,...,...,...,"23,136.00",...,...,...,...,...,...,...,...,...,...,...,...,2006,23136.00,...,3.86
398,Kazakhstan,"2,81,213.95","2,71,741.01","2,46,741.37","2,19,390.01","1,85,835.33","1,78,207.46","1,63,543.77","1,55,572.21","1,50,541.20","1,24,952.45","1,48,756.16","1,42,923.90","1,60,804.18","1,78,774.59","1,88,475.90","2,02,326.20","2,21,649.32","2,27,961.08","2,29,096.30","2,24,145.63","2,50,896.96","2,40,651.23","2,46,750.44","2,54,547.45","2,78,775.59","2,88,578.12","2,88,421.37","3,07,926.54","3,19,647.41",2018,319647.41,13.67,17.45
404,Kenya,...,...,...,...,"5,511.96","7,056.88",...,...,...,...,"7,927.57",...,...,...,...,"9,281.16",...,...,...,...,"13,888.30",...,...,...,...,...,...,...,...,2010,13888.30,...,0.33
296,Kiribati,...,...,...,...,18.56,...,...,...,...,...,...,...,...,...,29.66,31.23,62.78,67.72,63.78,...,...,...,...,...,...,...,...,...,...,2008,63.78,...,0.65
414,Kuwait,...,...,...,...,"29,524.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"83,921.36",...,...,2016,83921.36,...,21.21
417,Kyrgyzstan,"20,531.57","17,598.99","14,601.29","11,719.26","8,668.83","5,556.76","5,738.89","6,543.00","5,519.55","5,052.22","4,957.14","4,728.80","4,944.52","5,094.63","5,319.37","5,392.16","5,527.55","6,504.54","7,357.65","6,934.51","6,363.38",...,...,...,...,...,...,...,...,2010,6363.38,-69.01,1.17
